genres,id,keywords,original_language,production_companies,title,cast,index
  Adventure  Action  Thriller  Crime,10764,  killing  undercover  secret agent  british secret service,en, Eon Productions,Quantum of Solace,  Daniel Craig  Olga Kurylenko  Mathieu Amalric  Judi Dench  Giancarlo Giannini,10
  Adventure  Fantasy  Action,58,  witch  fortune teller  bondage  exotic island  monster  captain  card game  east india trading company  compass  ship  daughter  pirate  swashbuckler  aftercreditsstinger,en, Walt Disney Pictures  Jerry Bruckheimer Films  Second Mate Productions,Pirates of the Caribbean: Dead Man's Chest,  Johnny Depp  Orlando Bloom  Keira Knightley  Stellan Skarsg\u00e5rd  Bill Nighy,11
  Action  Adventure  Western,57201,  texas  horse  survivor  texas ranger  partner  outlaw  escape  lawyer  train  lone ranger  comanche  the lone ranger  tonto,en, Walt Disney Pictures  Jerry Bruckheimer Films  Infinitum Nihil  Silver Bullet Productions (II)  Blind Wink Productions  Classic Media,The Lone Ranger,  Johnny Depp  Armie Hammer  William Fichtner  Helena Bonham Carter  James Badge Dale,12
  Action  Adventure  Fantasy  Science Fiction,49521,  saving the world  dc comics  superhero  based on comic book  superhuman  alien invasion  reboot  super powers  dc extended universe,en, Legendary Pictures  Warner Bros.  DC Entertainment  Syncopy  Cruel and Unusual Films,Man of Steel,  Henry Cavill  Amy Adams  Michael Shannon  Kevin Costner  Diane Lane,13
  Adventure  Family  Fantasy,2454,  based on novel  fictional place  brother sister relationship  lion  human being  wretch  leap in time  matter of life and death  faith  uncle  narnia  fantasy world,en, Walt Disney  Walden Media  Stillking Films  Ozumi Films  Propeler  Silverbell Films  Revolution Sun Studios,The Chronicles of Narnia: Prince Caspian,  Ben Barnes  William Moseley  Anna Popplewell  Skandar Keynes  Georgie Henley,14
  Science Fiction  Action  Adventure,24428,  new york  shield  marvel comic  superhero  based on comic book  alien invasion  superhero team  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe,en, Paramount Pictures  Marvel Studios,The Avengers,  Robert Downey Jr.  Chris Evans  Mark Ruffalo  Chris Hemsworth  Scarlett Johansson,15
  Adventure  Action  Fantasy,1865,  sea  captain  mutiny  sword  prime minister  sailing  silver  ship  duke  mermaid  pirate  soldier  battle  swashbuckler  aftercreditsstinger  3d,en, Walt Disney Pictures  Jerry Bruckheimer Films  Moving Picture Company (MPC),Pirates of the Caribbean: On Stranger Tides,  Johnny Depp  Pen\u00e9lope Cruz  Ian McShane  Kevin McNally  Geoffrey Rush,16
  Action  Comedy  Science Fiction,41154,  time travel  time machine  alien  fictional government agency  seeing the future  changing history,en, Amblin Entertainment  Media Magik Entertainment  Imagenation Abu Dhabi FZ  Hemisphere Media Capital  Parkes/MacDonald Productions,Men in Black 3,  Will Smith  Tommy Lee Jones  Josh Brolin  Michael Stuhlbarg  Emma Thompson,17
  Action  Adventure  Fantasy,122917,  corruption  elves  dwarves  orcs  middle-earth (tolkien)  hobbit  dragon  battle  unlikely friendship  epic battle  sword and sorcery,en, WingNut Films  New Line Cinema  Warner Bros. Pictures  3Foot7  Metro-Goldwyn-Mayer (MGM),The Hobbit: The Battle of the Five Armies,  Martin Freeman  Ian McKellen  Richard Armitage  Ken Stott  Graham McTavish,18
  Action  Adventure  Fantasy,1930,  loss of father  vigilante  serum  marvel comic  scientific experiment  spider bite  masked vigilante  reboot  super powers  genetic engineering  social outcast  duringcreditsstinger,en, Columbia Pictures  Laura Ziskin Productions  Marvel Entertainment,The Amazing Spider-Man,  Andrew Garfield  Emma Stone  Rhys Ifans  Denis Leary  Campbell Scott,19
  Action  Adventure,20662,  robin hood  archer  knight  sherwood forest  bow and arrow  middle ages  medieval  king of england,en, Imagine Entertainment  Universal Pictures  Scott Free Productions  Relativity Media,Robin Hood,  Russell Crowe  Cate Blanchett  Max von Sydow  William Hurt  Mark Strong,20
  Adventure  Fantasy,57158,  elves  dwarves  orcs  hobbit  dragon  wizard  sword and sorcery,en, WingNut Films  New Line Cinema  Warner Bros. Pictures  Metro-Goldwyn-Mayer (MGM),The Hobbit: The Desolation of Smaug,  Martin Freeman  Ian McKellen  Richard Armitage  Ken Stott  Graham McTavish,21
  Adventure  Fantasy,2268,  england  compass  experiment  lordship  uncle  polar bear  orphan  animal  based on young adult novel,en, New Line Cinema  Ingenious Film Partners  Depth of Field  Scholastic Productions,The Golden Compass,  Dakota Blue Richards  Nicole Kidman  Daniel Craig  Sam Elliott  Eva Green,22
  Adventure  Drama  Action,254,  film business  screenplay  show business  film making  film producer  exotic island  monster  indigenous  ship  dinosaur,en, WingNut Films  Universal Pictures  Big Primate Pictures  MFPV Film,King Kong,  Naomi Watts  Jack Black  Adrien Brody  Thomas Kretschmann  Colin Hanks,23
  Drama  Romance  Thriller,597,  shipwreck  iceberg  ship  panic  titanic  ocean liner  epic  rich woman - poor man  love  disaster  tragic love  class differences  imax  star crossed lovers  steerage  salvage  rich snob  3d  1910s,en, Paramount Pictures  Twentieth Century Fox Film Corporation  Lightstorm Entertainment,Titanic,  Kate Winslet  Leonardo DiCaprio  Frances Fisher  Billy Zane  Kathy Bates,24
  Adventure  Action  Science Fiction,271110,  civil war  war  marvel comic  sequel  superhero  based on comic book  imax  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe  3d,en, Studio Babelsberg  Marvel Studios  Walt Disney Studios Motion Pictures  Vita-Ray Dutch Productions (III)  Deluxe Digital Studios,Captain America: Civil War,  Chris Evans  Robert Downey Jr.  Scarlett Johansson  Sebastian Stan  Anthony Mackie,25
  Thriller  Action  Adventure  Science Fiction,44833,  fight  u.s. navy  mind reading  hong kong  soccer  scientist  fictional war  naval  armada  battleship  naval combat  jds myoko  lost communication  taser  buoy  communications expert  joint chiefs of staff  crash landing  jet fighter pilot  navy lieutenant  permission to marry  uss john paul jones  based on board game  aftercreditsstinger  mighty mo  uss missouri,en, Universal Pictures  Hasbro  Bluegrass Films  Film 44,Battleship,  Taylor Kitsch  Alexander Skarsg\u00e5rd  Rihanna  Brooklyn Decker  Tadanobu Asano,26
  Action  Adventure  Science Fiction  Thriller,135397,  monster  dna  tyrannosaurus rex  velociraptor  island  sequel  suspense  disaster  escape  dinosaur  amusement park  animal attack  theme park  jurassic park  3d  animal horror,en, Universal Studios  Amblin Entertainment  Legendary Pictures  Fuji Television Network  Dentsu,Jurassic World,  Chris Pratt  Bryce Dallas Howard  Irrfan Khan  Vincent D'Onofrio  Nick Robinson,27
  Action  Adventure  Thriller,37724,  spy  secret agent  sociopath  killer  art gallery  british secret service  istanbul turkey  imax  uzi  booby trap  impersonating a police officer  macao,en, Columbia Pictures,Skyfall,  Daniel Craig  Judi Dench  Javier Bardem  Ralph Fiennes  Naomie Harris,28
  Action  Adventure  Fantasy,558,  dual identity  love of one's life  pizza boy  marvel comic  sequel  superhero  doctor  scientist  tentacle  death  super villain,en, Columbia Pictures  Laura Ziskin Productions  Marvel Enterprises,Spider-Man 2,  Tobey Maguire  Kirsten Dunst  James Franco  Alfred Molina  Rosemary Harris,29
  Action  Adventure  Science Fiction,68721,  terrorist  war on terror  tennessee  malibu  marvel comic  superhero  based on comic book  tony stark  iron man  aftercreditsstinger  marvel cinematic universe  mandarin  3d  war machine  iron patriot  extremis,en, Marvel Studios,Iron Man 3,  Robert Downey Jr.  Gwyneth Paltrow  Don Cheadle  Guy Pearce  Rebecca Hall,30
  Family  Fantasy  Adventure,12155,  based on novel  fictional place  queen  fantasy  alice in wonderland  fantasy world  3d,en, Walt Disney Pictures  Team Todd  Tim Burton Productions  Roth Films  Zanuck Company  id: 20004}],Alice in Wonderland,  Mia Wasikowska  Johnny Depp  Anne Hathaway  Helena Bonham Carter  Crispin Glover,31
  Adventure  Action  Science Fiction  Thriller,36668,  mutant  marvel comic  based on comic book  superhuman  beast  cyclops  aftercreditsstinger,en, Ingenious Film Partners  Twentieth Century Fox Film Corporation  Donners' Company  Dune Entertainment  Major Studio Partners  Bad Hat Harry Productions  thinkfilm  Marvel Enterprises  X3 Canada Productions  X3US Productions  XM3 Service,X-Men: The Last Stand,  Hugh Jackman  Halle Berry  Ian McKellen  Patrick Stewart  Famke Janssen,32
  Animation  Family,62211,  monster  dormitory  games  animation  best friend  university  scary  aftercreditsstinger,en, Walt Disney Pictures  Pixar Animation Studios,Monsters University,  Billy Crystal  John Goodman  Steve Buscemi  Helen Mirren  Noah Johnston,33
  Science Fiction  Action  Adventure,8373,  egypt  sun  chaos  symbol  artifact  transformers  tank  robot  imax  duringcreditsstinger,en, Paramount Pictures  DreamWorks SKG  Amblin Entertainment  Di Bonaventura Pictures  Platinum Dunes  Hasbro Studios  Revolution Sun Studios,Transformers: Revenge of the Fallen,  Shia LaBeouf  Megan Fox  Josh Duhamel  Rainn Wilson  Tyrese Gibson,34
  Science Fiction  Action  Adventure,91314,  sequel  alien  transformers  giant robot  robot  imax  transforming robot,en, Paramount Pictures  Amblin Entertainment  Di Bonaventura Pictures  Platinum Dunes  China Movie Channel  Hasbro Studios  Ian Bryce Productions  Revolution Sun Studios,Transformers: Age of Extinction,  Mark Wahlberg  Stanley Tucci  Kelsey Grammer  Nicola Peltz  Jack Reynor,35
  Fantasy  Adventure  Family,68728,  circus  witch  magic  hope  illusion  lost  magic trick  wizard  3d,en, Walt Disney Pictures  Roth Films,Oz: The Great and Powerful,  James Franco  Mila Kunis  Rachel Weisz  Michelle Williams  Zach Braff,36
  Action  Adventure  Fantasy,102382,  obsession  marvel comic  sequel  based on comic book  electrocution  medical experiment  electricity  super powers,en, Columbia Pictures  Marvel Enterprises  Avi Arad Productions  Matt Tolmach Productions,The Amazing Spider-Man 2,  Andrew Garfield  Emma Stone  Jamie Foxx  Dane DeHaan  Campbell Scott,37
  Adventure  Action  Science Fiction,20526,  artificial intelligence  secret identity  computer program  dystopia  computer  deception  duel  motorcycle  neon light  autocracy,en, Walt Disney Pictures  LivePlanet  Prana Studios  Sean Bailey Productions  Revolution Sun Studios  Kontsept Film Company,TRON: Legacy,  Garrett Hedlund  Jeff Bridges  Olivia Wilde  Bruce Boxleitner  Yaya DaCosta,38
  Animation  Family  Adventure  Comedy,49013,  car race  sequel  comedy  anthropomorphism  best friend  duringcreditsstinger,en, Walt Disney Pictures  Pixar Animation Studios,Cars 2,  Owen Wilson  Larry the Cable Guy  Michael Caine  Emily Mortimer  John Turturro,39
  Adventure  Action  Thriller  Science Fiction,44912,  dc comics  transformation  superhero  alien  alien infection  magical object  protector  super powers  origin  3d,en, De Line Pictures  Warner Bros.  DC Entertainment,Green Lantern,  Ryan Reynolds  Blake Lively  Peter Sarsgaard  Tim Robbins  Mark Strong,40
  Animation  Family  Comedy,10193,  hostage  college  toy  barbie  animation  escape  day care  teddy bear  duringcreditsstinger  toy comes to life  personification  inanimate objects coming to life  toy story,en, Walt Disney Pictures  Pixar Animation Studios,Toy Story 3,  Tom Hanks  Tim Allen  Ned Beatty  Joan Cusack  Michael Keaton,41
  Action  Science Fiction  Thriller,534,  saving the world  artificial intelligence  prophecy  san francisco  cyborg  killer robot  gas station  post-apocalyptic  dystopia  army  firearm  wartime  los angeles,en, Columbia Pictures  The Halcyon Company  Wonderland Sound and Vision  Warner Bros.,Terminator Salvation,  Christian Bale  Sam Worthington  Anton Yelchin  Moon Bloodgood  Bryce Dallas Howard,42
  Action,168259,  car race  speed  revenge  suspense  car  race  muscle car,en, Universal Pictures  Original Film  Fuji Television Network  Dentsu  One Race Films  China Film Co.  Qu\u00e9bec Production Services Tax Credit  Media Rights Capital (MRC)  Abu Dhabi Film Commission  Colorado Office of Film  id: 87858}],Furious 7,  Vin Diesel  Paul Walker  Dwayne Johnson  Michelle Rodriguez  Tyrese Gibson,43
  Action  Drama  Horror  Science Fiction  Thriller,72190,  dystopia  apocalypse  zombie  nuclear weapons  multiple perspectives  zombie apocalypse,en, Paramount Pictures  GK Films  Skydance Productions  Hemisphere Media Capital  Apparatus Productions  Latina Pictures  2DUX\u00b2,World War Z,  Brad Pitt  Mireille Enos  Abigail Hargrove  Sterling Jerins  James Badge Dale,44
  Action  Adventure  Fantasy  Science Fiction,127585,  1970s  mutant  time travel  marvel comic  based on comic book  superhuman  storm  beast  aftercreditsstinger  changing the past or future,en, Twentieth Century Fox Film Corporation  Donners' Company  Marvel Entertainment  Bad Hat Harry Productions  TSG Entertainment  Down Productions  Revolution Sun Studios,X-Men: Days of Future Past,  Hugh Jackman  James McAvoy  Michael Fassbender  Jennifer Lawrence  Halle Berry,45
  Action  Adventure  Science Fiction,54138,  spacecraft  friendship  sequel  futuristic  space  alien  imax  space opera  terrorist bombing  3d,en, Paramount Pictures  Skydance Productions  Bad Robot  Kurtzman/Orci,Star Trek Into Darkness,  Chris Pine  Zachary Quinto  Zoe Saldana  Karl Urban  Simon Pegg,46
  Action  Family  Fantasy,81005,  based on fairy tale  giant,en, New Line Cinema  Original Film  Legendary Pictures  Warner Bros.  Big Kid Pictures  Bad Hat Harry Productions,Jack the Giant Slayer,  Nicholas Hoult  Eleanor Tomlinson  Ewan McGregor  Stanley Tucci  Ian McShane,47
  Drama  Romance,64682,  based on novel  infidelity  obsession  hope  3d,en, Village Roadshow Pictures  Bazmark Films  Warner Bros.  A&E Television Networks  Red Wagon Entertainment  Spectrum Films,The Great Gatsby,  Leonardo DiCaprio  Tobey Maguire  Carey Mulligan  Joel Edgerton  Elizabeth Debicki,48
  Adventure  Fantasy  Action  Romance,9543,  persia  sandstorm  brother against brother  armageddon  regent  based on video game,en, Walt Disney Pictures  Jerry Bruckheimer Films,Prince of Persia: The Sands of Time,  Jake Gyllenhaal  Gemma Arterton  Ben Kingsley  Alfred Molina  Steve Toussaint,49
  Action  Science Fiction  Adventure,68726,  dystopia  giant robot  giant monster  apocalypse  imax  duringcreditsstinger  3d,en, Legendary Pictures  Warner Bros.  Disney Double Dare You (DDY)  Indochina Productions,Pacific Rim,  Idris Elba  Charlie Hunnam  Charlie Day  Ron Perlman  Burn Gorman,50
  Action  Science Fiction  Adventure,38356,  moon  spacecraft  traitor  bodyguard  alien planet  based on cartoon  transformers  giant robot  sabotage  word domination  commando  duringcreditsstinger,en, Paramount Pictures  Di Bonaventura Pictures  Indochina Productions  Hasbro Studios,Transformers: Dark of the Moon,  Shia LaBeouf  John Malkovich  Ken Jeong  Frances McDormand  Josh Duhamel,51
  Adventure  Action,217,  saving the world  riddle  whip  treasure  mexico city  leather jacket  machinegun  alien phenomenons  maya civilization  peru  treasure hunt  nuclear explosion  refrigerator  archaeologist  indiana jones  archeology\u00a0,en, Lucasfilm  Paramount Pictures,Indiana Jones and the Kingdom of the Crystal Skull,  Harrison Ford  Cate Blanchett  Shia LaBeouf  Ray Winstone  Karen Allen,52
  Adventure  Animation  Family,105864,  tyrannosaurus rex  friends  alternate history  dinosaur  fear  storm  nature  human  journey,en, Walt Disney Pictures  Pixar Animation Studios,The Good Dinosaur,  Raymond Ochoa  Jack Bright  Jeffrey Wright  Frances McDormand  Maleah Nipay-Padilla,53
  Animation  Adventure  Comedy  Family  Action  Fantasy,62177,  scotland  rebel  bravery  kingdom  archer  wish  bear  scot  rebellious daughter  turns into animal  archery  ruins  aftercreditsstinger  peace offering  woman director  courage  3d,en, Walt Disney Pictures  Pixar Animation Studios,Brave,  Kelly Macdonald  Julie Walters  Billy Connolly  Emma Thompson  Kevin McKidd,54
  Action  Adventure  Science Fiction,188927,  sequel  stranded  hatred  space opera,en, Paramount Pictures  Bad Robot  Perfect Storm Entertainment  Alibaba Pictures Group  Skydance Media  Sneaky Shark  Huahua Media,Star Trek Beyond,  Chris Pine  Zachary Quinto  Karl Urban  Simon Pegg  Zoe Saldana,55
  Animation  Family,10681,  romantic comedy,en, Walt Disney Pictures  Pixar Animation Studios  FortyFour Studios,WALL·E,  Ben Burtt  Elissa Knight  Jeff Garlin  id: 20753  id: 7907,56
  Action  Comedy  Crime  Thriller,5174,  ambassador,en, New Line Cinema,Rush Hour 3,  Chris Tucker  Jackie Chan  Hiroyuki Sanada  Max von Sydow  Yvan Attal,57
  Action  Adventure  Science Fiction,14161,  civilization  natural disaster  end of the world  disaster  apocalypse  destruction  volcanic eruption  mayan  ark  solar  destruction  of mankind,en, Columbia Pictures  Centropolis Entertainment  The Mark Gordon Company  Farewell Productions,2012,  John Cusack  Amanda Peet  Chiwetel Ejiofor  Thandie Newton  Oliver Platt,58
  Animation  Drama,17979,  holiday  based on novel  victorian england  money  christmas eve  scrooge  christmas carol  ghost  lesson  charles dickens  christmas,en, Walt Disney  ImageMovers,A Christmas Carol,  gender: 2  Ghost of Christmas Present  {cast_id: 13  {cast_id: 14  {cast_id: 15,59
  Science Fiction  Fantasy  Action  Adventure,76757,  jupiter  space  woman director  3d  interspecies romance,en, Village Roadshow Pictures  Dune Entertainment  Anarchos Productions  Warner Bros.,Jupiter Ascending,  Mila Kunis  Channing Tatum  Sean Bean  Eddie Redmayne  Douglas Booth,60
  Action  Adventure,258489,  africa  feral child  tarzan  jungle  animal attack,en, Village Roadshow Pictures  Dark Horse Entertainment  Jerry Weintraub Productions  RatPac-Dune Entertainment  Beagle Pug Films  Riche Productions  Village Roadshow Films North America,The Legend of Tarzan,  Alexander Skarsg\u00e5rd  Margot Robbie  Christoph Waltz  Samuel L. Jackson  Djimon Hounsou,61
  Adventure  Family  Fantasy,411,  saving the world  witch  based on novel  brother sister relationship  self sacrifice  winter  cupboard  beaver  lion  fairy-tale figure  battle  narnia  fantasy world  duringcreditsstinger,en, Walt Disney  Walden Media,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",  William Moseley  Anna Popplewell  Skandar Keynes  Georgie Henley  Liam Neeson,62
  Science Fiction,246655,  mutant  supernatural powers  marvel comic  superhero  based on comic book  superhuman  apocalypse  superhero team  world domination  aftercreditsstinger  1980s,en, Twentieth Century Fox Film Corporation  Donners' Company  Marvel Entertainment  Bad Hat Harry Productions  TSG Entertainment  Kinberg Genre,X-Men: Apocalypse,  James McAvoy  Michael Fassbender  Jennifer Lawrence  Nicholas Hoult  Oscar Isaac,63
  Drama  Action  Crime  Thriller,155,  dc comics  crime fighter  secret identity  scarecrow  sadism  chaos  gotham city  vigilante  joker  superhero  based on comic book  tragic hero  organized crime  criminal mastermind  district attorney  imax  super villain  super powers  batman,en, DC Comics  Legendary Pictures  Warner Bros.  DC Entertainment  Syncopy,The Dark Knight,  Christian Bale  Heath Ledger  Aaron Eckhart  Michael Caine  Maggie Gyllenhaal,64
  Animation  Comedy  Family  Adventure,14160,  age difference  central and south america  balloon  animation  floating in the air  duringcreditsstinger  exploring,en, Pixar Animation Studios,Up,  Ed Asner  Christopher Plummer  Jordan Nagai  Bob Peterson  Delroy Lindo,65
  Animation  Family  Adventure  Science Fiction,15512,  alien  giant robot  duringcreditsstinger,en, DreamWorks Animation,Monsters vs Aliens,  Seth Rogen  Reese Witherspoon  Hugh Laurie  Paul Rudd  Kiefer Sutherland,66
  Action  Science Fiction  Adventure,1726,  middle east  arms dealer  malibu  marvel comic  superhero  based on comic book  tony stark  iron man  aftercreditsstinger  marvel cinematic universe  counter terrorism  agent coulson,en, Marvel Studios,Iron Man,  Robert Downey Jr.  Terrence Howard  Jeff Bridges  Shaun Toub  Gwyneth Paltrow,67
  Adventure  Drama  Family,44826,  library  clock  film director  key  toy  boy  love  orphan  robot  automaton  hiding  filmmaking  leg brace  doberman  3d,en, Paramount Pictures  Infinitum Nihil  GK Films,Hugo,  Ben Kingsley  Sacha Baron Cohen  Asa Butterfield  Chlo\u00eb Grace Moretz  Ray Winstone,68
  Action  Adventure  Comedy  Science Fiction  Western,8487,  steampunk  based on tv series  steam locomotive  drag,en, Todman  LeMasters Productions  Warner Bros.  Peters Entertainment  Sonnenfeld Josephson Worldwide Entertainment,Wild Wild West,  Will Smith  Kevin Kline  Kenneth Branagh  Salma Hayek  M. Emmet Walsh,69
  Adventure  Action  Fantasy,1735,,en, Universal Pictures  China Film Co-Production Corporation  Relativity Media  Alphaville Films  Sommers Company  id: 19643}],The Mummy: Tomb of the Dragon Emperor,  Brendan Fraser  Jet Li  John Hannah  Maria Bello  Luke Ford,70
  Action  Adventure  Crime  Fantasy  Science Fiction,297761,  dc comics  shared universe  anti hero  secret mission  villain  superhero  supervillain  dc extended universe,en, DC Comics  Dune Entertainment  Atlas Entertainment  Warner Bros.  DC Entertainment,Suicide Squad,  Will Smith  Margot Robbie  Joel Kinnaman  Viola Davis  Jared Leto,71
  Fantasy  Comedy  Family,2698,  father son relationship  daily life  married couple  support  father  marriage  faith  baustelle  rescue  animal  nature  duringcreditsstinger  noah's ark,en, Columbia Pictures  Universal Pictures  Spyglass Entertainment  Shady Acres Entertainment  Original Film  Playtone  Relativity Media,Evan Almighty,  Steve Carell  Lauren Graham  John Goodman  Jimmy Bennett  John Michael Higgins,72
  Action  Science Fiction,137113,  deja vu  time warp  restart  dystopia  war  alien  military officer  soldier  alien invasion  exoskeleton,en, Village Roadshow Pictures  Warner Bros.  Viz Media  Province of British Columbia Production Services Tax Credit  3 Arts Entertainment  RatPac-Dune Entertainment,Edge of Tomorrow,  Tom Cruise  Emily Blunt  Brendan Gleeson  Bill Paxton  Jonas Armstrong,73
  Adventure  Action,9804,  ocean  tattoo  mutant  water  dystopia  doomsday,en, Universal Pictures  Gordon Company  Davis Entertainment  Licht/Mueller Film Corporation,Waterworld,  Kevin Costner  Chaim Girafi  Rick Aviles  R. D. Call  Zitto Kazann,74
  Adventure  Action  Thriller  Science Fiction,14869,  terrorist  secret  hostage  technology  warhead  government  president  revenge  murder  attack  explosion  scientist  lasers  evil  cobra,en, Paramount Pictures  Spyglass Entertainment  Di Bonaventura Pictures  Hasbro  Kontsept Film Company,G.I. Joe: The Rise of Cobra,  Dennis Quaid  Channing Tatum  Marlon Wayans  Sienna Miller  Joseph Gordon-Levitt,75
  Drama  Comedy  Animation  Family,150540,  dream  cartoon  imaginary friend  animation  family  moving  kids  unicorn  duringcreditsstinger  3d  emotions,en, Walt Disney Pictures  Pixar Animation Studios,Inside Out,  Amy Poehler  Phyllis Smith  Richard Kind  Bill Hader  Lewis Black,76
  Family  Adventure  Drama  Fantasy,278927,  based on novel  snake  wolf  elephant  tiger  feral child  panther  remake  bear  jungle  talking animal  orphan  animal  talking to animals,en, Walt Disney Pictures  Walt Disney Studios Motion Pictures  Fairview Entertainment  Moving Picture Company (MPC),The Jungle Book,  Neel Sethi  Bill Murray  Ben Kingsley  Idris Elba  Scarlett Johansson,77
  Adventure  Action  Science Fiction,10138,  malibu  marvel comic  superhero  based on comic book  revenge  aftercreditsstinger  marvel cinematic universe,en, Marvel Studios,Iron Man 2,  Robert Downey Jr.  Gwyneth Paltrow  Don Cheadle  Scarlett Johansson  Mickey Rourke,78
  Adventure  Fantasy  Drama,58595,  queen  magic  fairy tale  immortality  forest  deception  woman  eternal youth  snow white  evil queen  evil stepmother  imprisoned  sorceress,en, Universal Pictures  Roth Films,Snow White and the Huntsman,  Kristen Stewart  Charlize Theron  Chris Hemsworth  Sam Claflin  Ian McShane,79
  Fantasy  Adventure  Action  Family  Romance,102651,  fairy tale  villain  sleeping beauty  dark fantasy  based on fairy tale  adaptation  retelling  literary adaptation  3d,en, Walt Disney Pictures  Walt Disney Studios Motion Pictures  Roth Films,Maleficent,  Angelina Jolie  Elle Fanning  Sharlto Copley  Sam Riley  Juno Temple,80
  Science Fiction  Action  Drama  Thriller,119450,  leader  colony  post-apocalyptic  dystopia  forest  sequel  woods  ape  scientist  monkey  medical research  animal attack  plague  3d,en, Ingenious Media  Chernin Entertainment  TSG Entertainment,Dawn of the Planet of the Apes,  Andy Serkis  Jason Clarke  Gary Oldman  Keri Russell  Toby Kebbell,81
  Action  Adventure  Science Fiction  Romance,79698,,en, Corsan  Bliss Media  Limelight International Media Entertainment  Neelmudra Entertainment  Aristos Films  Singularity Productions  Wildkite,The Lovers,  Josh Hartnett  Simone Kessell  Tamsin Egerton  Alice Englert  Bipasha Basu,82
  Drama  Action  Adventure  Fantasy,64686,  japan  suicide  samurai  based on true story  samurai sword  ronin  shogun  half breed  3d,en, Mid Atlantic Films  Stuber Productions  Universal  Moving Picture Company (MPC)  H2F Entertainment,47 Ronin,  Keanu Reeves  Hiroyuki Sanada  Kou Shibasaki  Tadanobu Asano  Min Tanaka,83
